Product1_ID,Product2_ID
69629,2625917
69678,2548189
69678,3776178
69755,214270
69790,1843114
69790,3387986
69790,3765300
69825,135016
69825,1595552
69825,3319085
70035,1535947
70035,3510199
70525,2538858
71001,1176350
71001,1865906
71645,2922549
72058,981260
72058,2002434
72058,3741612
72058,3744230
72212,3431848
72254,708057
72254,1462650
73423,251678
73423,2562511
73423,2816492
73423,3269924
73556,2881963
73864,1760892
73899,1384404
74550,930692
74550,1892856
74550,3718463
74914,2684472
75096,1952132
75096,3770543
75306,2330209
75306,3818311
75425,2189726
76377,76370
76384,1888789
76454,3826326
77119,1740480
77182,919933
77182,954149
77560,3029306
77735,221368
77735,1209117
77735,1972299
77875,1870449
77875,2150995
77875,2378439
77889,3042641
78022,1110599
78022,1269471
78022,2678690
78022,2942814
78022,3713542
78701,1211462
78701,2279991
78925,1138844
78925,1390347
78925,2701419
78953,452564
79296,1498469
79450,602497
79492,1927611
79492,2766120
79513,630882
79513,1770657
79513,2398039
79772,298466
79772,1448755
79772,1634948
80710,8407
80710,28329
80710,858333
80871,2074856
81221,479479
81221,1913660
81221,3316824
81221,3572282
81305,3299646
81543,1743672
83006,1359610
83006,2384725
83006,2896985
83069,778813
84441,2270219
84462,720671
84630,2526517
84728,596197
84840,1588881
85281,1980034
85351,66010
85351,2841426
85435,3822217
85694,913731
85694,3186043
85771,2238915
86611,1159753
86611,1393714
86688,2182677
86898,623546
86898,1282729
86898,1860488
86898,3711162
87031,301
87031,210154
87031,888251
87031,2066561
87199,1375864
87199,1589182
87465,3680236
87836,26250
87836,1949528
87836,2944620
87969,275219
88109,2042691
88130,231819
88130,1265047
88396,1667351
88396,1991227
88417,1567265
88417,3761065
88886,910070
89180,99988
89180,2197048
89180,2917306
89866,133427
89866,556871
89950,146622
89950,3824072
90468,1826482
91434,1052219
91434,1704465
91805,551292
91805,1988420
91805,2355290
91805,3377787
92211,2307130
92414,1477658
93261,1877988
93261,2356270
94157,1890672
94178,328363
94234,2581796
94234,3731672
94353,1248604
94374,366177
94374,2146865
94374,2602285
